2024-06-17 19:48:42 startup archives install
2024-06-17 19:48:43 install base-passwd:amd64 <none> 3.5.46
2024-06-17 19:48:43 status half-installed base-passwd:amd64 3.5.46
2024-06-17 19:48:43 status unpacked base-passwd:amd64 3.5.46
2024-06-17 19:48:43 configure base-passwd:amd64 3.5.46 3.5.46
2024-06-17 19:48:43 status half-configured base-passwd:amd64 3.5.46
2024-06-17 19:48:43 status installed base-passwd:amd64 3.5.46
2024-06-17 19:48:43 startup archives install
2024-06-17 19:48:43 install base-files:amd64 <none> 10.3+deb10u13
2024-06-17 19:48:43 status half-installed base-files:amd64 10.3+deb10u13
2024-06-17 19:48:43 status unpacked base-files:amd64 10.3+deb10u13
2024-06-17 19:48:43 configure base-files:amd64 10.3+deb10u13 10.3+deb10u13
2024-06-17 19:48:43 status half-configured base-files:amd64 10.3+deb10u13
2024-06-17 19:48:43 status installed base-files:amd64 10.3+deb10u13
2024-06-17 19:48:43 startup archives install
2024-06-17 19:48:43 upgrade dpkg 1.19.8 1.19.8
2024-06-17 19:48:43 status half-configured dpkg 1.19.8
2024-06-17 19:48:43 status unpacked dpkg 1.19.8
2024-06-17 19:48:43 status half-installed dpkg 1.19.8
2024-06-17 19:48:43 status unpacked dpkg:amd64 1.19.8
2024-06-17 19:48:43 configure dpkg:amd64 1.19.8 1.19.8
2024-06-17 19:48:43 status half-configured dpkg:amd64 1.19.8
2024-06-17 19:48:43 status installed dpkg:amd64 1.19.8
2024-06-17 19:48:43 startup archives install
2024-06-17 19:48:43 install libc6:amd64 <none> 2.28-10+deb10u1
2024-06-17 19:48:43 status half-installed libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:44 status unpacked libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:44 configure libc6:amd64 2.28-10+deb10u1 2.28-10+deb10u1
2024-06-17 19:48:44 status half-configured libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:44 status installed libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:44 startup archives install
2024-06-17 19:48:44 install perl-base:amd64 <none> 5.28.1-6+deb10u1
2024-06-17 19:48:44 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:45 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:45 configure perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2024-06-17 19:48:45 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:45 status installed perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:45 startup archives install
2024-06-17 19:48:45 install mawk:amd64 <none> 1.3.3-17+b3
2024-06-17 19:48:45 status half-installed mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:45 status unpacked mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:45 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2024-06-17 19:48:45 status half-configured mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:45 status installed mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:45 startup archives install
2024-06-17 19:48:45 install debconf:all <none> 1.5.71+deb10u1
2024-06-17 19:48:45 status half-installed debconf:all 1.5.71+deb10u1
2024-06-17 19:48:45 status unpacked debconf:all 1.5.71+deb10u1
2024-06-17 19:48:45 configure debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2024-06-17 19:48:45 status half-configured debconf:all 1.5.71+deb10u1
2024-06-17 19:48:45 status installed debconf:all 1.5.71+deb10u1
2024-06-17 19:48:46 startup archives unpack
2024-06-17 19:48:46 install adduser:all <none> 3.118
2024-06-17 19:48:46 status half-installed adduser:all 3.118
2024-06-17 19:48:46 status unpacked adduser:all 3.118
2024-06-17 19:48:46 install apt:amd64 <none> 1.8.2.3
2024-06-17 19:48:46 status half-installed apt:amd64 1.8.2.3
2024-06-17 19:48:46 status unpacked apt:amd64 1.8.2.3
2024-06-17 19:48:46 upgrade base-files:amd64 10.3+deb10u13 10.3+deb10u13
2024-06-17 19:48:46 status half-configured base-files:amd64 10.3+deb10u13
2024-06-17 19:48:46 status unpacked base-files:amd64 10.3+deb10u13
2024-06-17 19:48:46 status half-installed base-files:amd64 10.3+deb10u13
2024-06-17 19:48:46 status unpacked base-files:amd64 10.3+deb10u13
2024-06-17 19:48:46 upgrade base-passwd:amd64 3.5.46 3.5.46
2024-06-17 19:48:46 status half-configured base-passwd:amd64 3.5.46
2024-06-17 19:48:46 status unpacked base-passwd:amd64 3.5.46
2024-06-17 19:48:46 status half-installed base-passwd:amd64 3.5.46
2024-06-17 19:48:46 status unpacked base-passwd:amd64 3.5.46
2024-06-17 19:48:46 install bash:amd64 <none> 5.0-4
2024-06-17 19:48:46 status half-installed bash:amd64 5.0-4
2024-06-17 19:48:46 status unpacked bash:amd64 5.0-4
2024-06-17 19:48:46 install bsdutils:amd64 <none> 1:2.33.1-0.1
2024-06-17 19:48:46 status half-installed bsdutils:amd64 1:2.33.1-0.1
2024-06-17 19:48:47 status unpacked bsdutils:amd64 1:2.33.1-0.1
2024-06-17 19:48:47 install coreutils:amd64 <none> 8.30-3
2024-06-17 19:48:47 status half-installed coreutils:amd64 8.30-3
2024-06-17 19:48:47 status unpacked coreutils:amd64 8.30-3
2024-06-17 19:48:47 install dash:amd64 <none> 0.5.10.2-5
2024-06-17 19:48:47 status half-installed dash:amd64 0.5.10.2-5
2024-06-17 19:48:47 status unpacked dash:amd64 0.5.10.2-5
2024-06-17 19:48:47 upgrade debconf:all 1.5.71+deb10u1 1.5.71+deb10u1
2024-06-17 19:48:47 status half-configured debconf:all 1.5.71+deb10u1
2024-06-17 19:48:47 status unpacked debconf:all 1.5.71+deb10u1
2024-06-17 19:48:47 status half-installed debconf:all 1.5.71+deb10u1
2024-06-17 19:48:47 status unpacked debconf:all 1.5.71+deb10u1
2024-06-17 19:48:47 install debian-archive-keyring:all <none> 2019.1+deb10u1
2024-06-17 19:48:47 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2024-06-17 19:48:47 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2024-06-17 19:48:47 install debianutils:amd64 <none> 4.8.6.1
2024-06-17 19:48:47 status half-installed debianutils:amd64 4.8.6.1
2024-06-17 19:48:47 status unpacked debianutils:amd64 4.8.6.1
2024-06-17 19:48:47 install diffutils:amd64 <none> 1:3.7-3
2024-06-17 19:48:47 status half-installed diffutils:amd64 1:3.7-3
2024-06-17 19:48:47 status unpacked diffutils:amd64 1:3.7-3
2024-06-17 19:48:47 upgrade dpkg:amd64 1.19.8 1.19.8
2024-06-17 19:48:47 status half-configured dpkg:amd64 1.19.8
2024-06-17 19:48:47 status unpacked dpkg:amd64 1.19.8
2024-06-17 19:48:47 status half-installed dpkg:amd64 1.19.8
2024-06-17 19:48:48 status unpacked dpkg:amd64 1.19.8
2024-06-17 19:48:48 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2024-06-17 19:48:48 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:48 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:48 install fdisk:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:48 status half-installed fdisk:amd64 2.33.1-0.1
2024-06-17 19:48:48 status unpacked fdisk:amd64 2.33.1-0.1
2024-06-17 19:48:48 install findutils:amd64 <none> 4.6.0+git+20190209-2
2024-06-17 19:48:48 status half-installed findutils:amd64 4.6.0+git+20190209-2
2024-06-17 19:48:48 status unpacked findutils:amd64 4.6.0+git+20190209-2
2024-06-17 19:48:48 install gcc-8-base:amd64 <none> 8.3.0-6
2024-06-17 19:48:48 status half-installed gcc-8-base:amd64 8.3.0-6
2024-06-17 19:48:48 status unpacked gcc-8-base:amd64 8.3.0-6
2024-06-17 19:48:48 install gpgv:amd64 <none> 2.2.12-1+deb10u2
2024-06-17 19:48:48 status half-installed gpgv:amd64 2.2.12-1+deb10u2
